venta_id,fecha_venta,sucursal,ciudad,region,plataforma,videojuego,categoria,precio,unidades,metodo_pago,satisfaccion,comentarios,codigo_interno,usuario_captura
VJ-00247,2026-05-15,sucursal centro ,ciudad de mexico, centro ,PC,Zelda,Accion,0,1,Efectivo,Baja ,revisar captura,INT-9243,capturista2
VJ-00617,2026-03-05,Sucursal Sur,monterrey ,occidente,NINTENDO,Halo,Accion,999,2,efectivo ,Alta,revisar captura,INT-4291,usuario_tmp
VJ-00653,2026-01-17,Sucursal Centro, Ciudad de México ,Occidente,xbox,Spider-Man,Deportes,799,1,TARJETA,MEDIA,,INT-6969,capturista2
VJ-00015,2026-04-17,SUCURSAL CENTRO,CDMX,Centro,PLAYSTATION,FIFA,estrategia ,1799,1,Transferencia,,revisar captura,INT-3069,capturista2
VJ-00523,2026-04-05,Sucursal Centro,CIUDAD DE MÉXICO,Centro,PLAYSTATION,Minecraft,Aventura,999,3,tarjeta,Media,promoción,INT-6344,capturista2
VJ-00409,2026-02-10,Sucursal Sur,CDMX,Norte,xbox,Zelda,Aventura,599,2,,Media,cliente frecuente,INT-2159,capturista2
VJ-00225,2026-05-09,sucursal centro ,monterrey ,occidente, XBOX ,Spider-Man,DEPORTES,0,2,efectivo ,,,INT-3226,admin
VJ-00219,2026-06-07,Sucursal Sur, Ciudad de México ,Norte, pc ,Zelda,estrategia ,1199,3,Transferencia,muy alta,sin comentario,INT-2689,capturista2
VJ-00078,2026-06-27,sucursal norte, Ciudad de México , centro ,xbox,God of War,Acción,599,1,Efectivo,Media,revisar captura,INT-7432,capturista2
VJ-00573,2026-02-09,Sucursal Centro, Ciudad de México ,Centro, nintendo ,Zelda, aventura ,599,3,Transferencia,,promoción,INT-1633,usuario_tmp
VJ-00394,2026-06-22,SUCURSAL CENTRO, Ciudad de México ,, pc ,Pokemon,Deportes,1499,,,Muy Alta,,INT-4653,capturista2
VJ-00249,2026-04-30,Sucursal Sur,ciudad de mexico,norte , pc ,Fortnite,Estrategia,1199,1,,,sin comentario,INT-8730,usuario_tmp
VJ-00618,2026-04-22,SUCURSAL CENTRO,Monterrey,norte ,xbox,Fortnite, aventura ,1199,4,Transferencia,Baja ,cliente frecuente,INT-2817,capturista1
VJ-00658,2026-01-16,Sucursal Norte,Guadalajara,CENTRO, nintendo ,Minecraft,Deportes,1199,1,,muy alta,,INT-8537,capturista2
VJ-00648,2026-05-01,Sucursal Norte,Monterrey,Occidente, nintendo ,Call of Duty,estrategia ,1799,,TARJETA,muy alta,promoción,INT-4843,capturista1
